[2015-04-17 03:50:25] error.ALERT: Fatal Error (E_ERROR): Class 'Gaea\Session' not found {"code":1,"message":"Class 'Gaea\\Session' not found","file":"/Users/xingshanghe/Sites/gaea/vendor/Gaea/Core.php","line":132} []
[2015-04-17 03:51:46] error.ALERT: Fatal Error (E_ERROR): Call to private method Gaea\Core::logger() from context 'passport\controller\Test' {"code":1,"message":"Call to private method Gaea\\Core::logger() from context 'passport\\controller\\Test'","file":"/Users/xingshanghe/Sites/gaea/demo/src/modules/passport/controller/Test.php","line":25} []
[2015-04-17 03:52:44] error.ALERT: Fatal Error (E_ERROR): Call to undefined function passport\controller\dump() {"code":1,"message":"Call to undefined function passport\\controller\\dump()","file":"/Users/xingshanghe/Sites/gaea/demo/src/modules/passport/controller/Test.php","line":27} []
[2015-04-17 03:54:06] error.ALERT: Fatal Error (E_ERROR): Call to undefined function passport\controller\dump() {"code":1,"message":"Call to undefined function passport\\controller\\dump()","file":"/Users/xingshanghe/Sites/gaea/demo/src/modules/passport/controller/Test.php","line":27} []
[2015-04-17 03:54:07] error.ALERT: Fatal Error (E_ERROR): Call to undefined function passport\controller\dump() {"code":1,"message":"Call to undefined function passport\\controller\\dump()","file":"/Users/xingshanghe/Sites/gaea/demo/src/modules/passport/controller/Test.php","line":27} []
[2015-04-17 03:54:08] error.ALERT: Fatal Error (E_ERROR): Call to undefined function passport\controller\dump() {"code":1,"message":"Call to undefined function passport\\controller\\dump()","file":"/Users/xingshanghe/Sites/gaea/demo/src/modules/passport/controller/Test.php","line":27} []
[2015-04-17 03:56:19] error.ALERT: Fatal Error (E_ERROR): Call to undefined function passport\controller\dump() {"code":1,"message":"Call to undefined function passport\\controller\\dump()","file":"/Users/xingshanghe/Sites/gaea/demo/src/modules/passport/controller/Test.php","line":27} []
[2015-04-17 03:57:33] error.ALERT: Fatal Error (E_ERROR): Call to undefined function passport\controller\dump() {"code":1,"message":"Call to undefined function passport\\controller\\dump()","file":"/Users/xingshanghe/Sites/gaea/demo/src/modules/passport/controller/Test.php","line":27} []
[2015-04-17 03:59:30] error.ALERT: Fatal Error (E_ERROR): Call to undefined function passport\controller\dump() {"code":1,"message":"Call to undefined function passport\\controller\\dump()","file":"/Users/xingshanghe/Sites/gaea/demo/src/modules/passport/controller/Test.php","line":27} []
[2015-04-17 03:59:35] error.ALERT: Fatal Error (E_ERROR): Call to undefined function passport\controller\dump() {"code":1,"message":"Call to undefined function passport\\controller\\dump()","file":"/Users/xingshanghe/Sites/gaea/demo/src/modules/passport/controller/Test.php","line":27} []
[2015-04-17 03:59:36] error.ALERT: Fatal Error (E_ERROR): Call to undefined function passport\controller\dump() {"code":1,"message":"Call to undefined function passport\\controller\\dump()","file":"/Users/xingshanghe/Sites/gaea/demo/src/modules/passport/controller/Test.php","line":27} []
[2015-04-17 03:59:37] error.ALERT: Fatal Error (E_ERROR): Call to undefined function passport\controller\dump() {"code":1,"message":"Call to undefined function passport\\controller\\dump()","file":"/Users/xingshanghe/Sites/gaea/demo/src/modules/passport/controller/Test.php","line":27} []
[2015-04-17 03:59:40] error.ALERT: Fatal Error (E_ERROR): Call to undefined function passport\controller\dump() {"code":1,"message":"Call to undefined function passport\\controller\\dump()","file":"/Users/xingshanghe/Sites/gaea/demo/src/modules/passport/controller/Test.php","line":27} []
[2015-04-17 03:59:41] error.ALERT: Fatal Error (E_ERROR): Call to undefined function passport\controller\dump() {"code":1,"message":"Call to undefined function passport\\controller\\dump()","file":"/Users/xingshanghe/Sites/gaea/demo/src/modules/passport/controller/Test.php","line":27} []
